Participant,Posture,Direction,Range
4,Lying,DownRight,67.2417
4,Lying,UpLeft,42.63436
4,Lying,UpLeft,45.51987
4,Lying,UpLeft,43.69989
4,Lying,Down,48.9005
4,Lying,Down,23.67387
4,Lying,Down,47.0354
4,Lying,UpRight,45.16427
4,Lying,UpRight,45.8178
4,Lying,UpRight,44.55902
4,Lying,Right,63.9936
4,Lying,Right,67.4789
4,Lying,Right,68.0345
5,Lying,DownLeft,61.49004
5,Lying,DownLeft,86.58123
5,Lying,DownLeft,83.52662
5,Lying,Left,64.93949
5,Lying,Left,67.4437
5,Lying,Left,78.77822
5,Lying,DownRight,68.45829
5,Lying,DownRight,68.96569
5,Lying,DownRight,69.84142
5,Lying,UpLeft,30.98145
5,Lying,UpLeft,40.68885
5,Lying,UpLeft,63.07341
5,Lying,Down,59.6424
5,Lying,Down,65.505
5,Lying,Down,62.88229
5,Lying,UpRight,65.23297
5,Lying,UpRight,63.04634
5,Lying,UpRight,60.16581
5,Lying,Right,70.23688
5,Lying,Right,71.13696
5,Lying,Right,70.09616
5,Lying,Up,52.74954
5,Lying,Up,44.47921
5,Lying,Up,43.99491
6,Lying,UpLeft,50.00988
6,Lying,UpLeft,45.08726
6,Lying,UpLeft,50.52525
6,Lying,Down,153.9874
6,Lying,Down,140.9807
6,Lying,Down,151.6238
6,Lying,UpRight,71.56284
6,Lying,UpRight,87.91592
6,Lying,UpRight,87.8265
6,Lying,Right,88.17017
6,Lying,Right,358.189435
6,Lying,Right,84.9245
6,Lying,Up,72.28638
6,Lying,Up,69.08872
6,Lying,Up,71.38173
6,Lying,DownLeft,88.67611
6,Lying,DownLeft,100.2228
6,Lying,DownLeft,101.4023
6,Lying,Left,88.86717
6,Lying,Left,84.0392
6,Lying,Left,86.25496
6,Lying,DownRight,78.50807
6,Lying,DownRight,1.236222
6,Lying,DownRight,83.13708
7,Lying,UpRight,35.52905
7,Lying,UpRight,31.75522
7,Lying,UpRight,32.55913
7,Lying,Right,59.31693
7,Lying,Right,60.86734
7,Lying,Right,58.0876
7,Lying,Up,35.05338
7,Lying,Up,31.26757
7,Lying,Up,29.89089
7,Lying,DownLeft,36.5382
7,Lying,DownLeft,37.14545
7,Lying,DownLeft,41.27473
7,Lying,Left,55.52709
7,Lying,Left,55.34542
7,Lying,Left,57.41827
7,Lying,DownRight,35.93826
7,Lying,DownRight,28.55824
7,Lying,DownRight,34.41288
7,Lying,UpLeft,43.79399
7,Lying,UpLeft,39.41107
7,Lying,UpLeft,42.08707
7,Lying,Down,25.01123
7,Lying,Down,23.52243
7,Lying,Down,21.94107
8,Lying,DownRight,75.10657
8,Lying,DownRight,82.33235
8,Lying,DownRight,80.42722
8,Lying,UpLeft,31.46714
8,Lying,UpLeft,29.13776
8,Lying,UpLeft,35.98189
8,Lying,Down,47.38554
8,Lying,Down,46.90485
8,Lying,Down,49.8818
8,Lying,UpRight,23.2698
8,Lying,UpRight,26.34103
8,Lying,UpRight,29.21688
8,Lying,Right,53.7923
8,Lying,Right,50.70646
8,Lying,Right,49.03409
8,Lying,Up,23.64235
8,Lying,Up,20.92974
8,Lying,Up,16.04258
8,Lying,DownLeft,47.1601
8,Lying,DownLeft,62.56964
8,Lying,DownLeft,69.71609
8,Lying,Left,31.19763
8,Lying,Left,29.44127
8,Lying,Left,29.80374
9,Lying,Down,166.7659
9,Lying,Down,167.1897
9,Lying,Down,162.3197
9,Lying,UpRight,87.41519
9,Lying,UpRight,82.00014
9,Lying,UpRight,86.48144
9,Lying,Right,100.2132
9,Lying,Right,100.3481
9,Lying,Right,96.36997
9,Lying,Up,64.04873
9,Lying,Up,62.11165
9,Lying,Up,40.07857
9,Lying,DownLeft,93.73309
9,Lying,DownLeft,90.09129
9,Lying,DownLeft,93.40419
